departamento,promedio_desempeno
Quindío,62.769040000000004
Valle del Cauca,62.18664984126983
Risaralda,60.36154047619048
Antioquia,59.419208426666664
Cundinamarca,59.26854195402299
Caldas,59.1276861728395
Meta,58.3508983908046
Huila,58.24931225225225
Boyacá,57.66146249322493
Santander,57.09154789272031
Arauca,56.68317523809524
Casanare,56.510257894736846
Tolima,55.956420709219856
Atlántico,55.332713623188404
Norte de Santander,54.53266383333334
Cesar,53.710188800000005
Córdoba,53.562378
La Guajira,52.65113955555556
Caquetá,52.59543
Nariño,52.492413854166664
Cauca,52.24463206349206
San Andrés y Providencia,51.64586
Sucre,51.06576717948718
Magdalena,50.46281888888888
Putumayo,50.03432871794872
Chocó,49.55639688888889
Guainía,49.011280000000006
Bolívar,48.52683898550725
Guaviare,48.32194833333333
Vaupés,47.45794
Amazonas,46.438806666666665
Vichada,45.60064833333333
