departamento,mujeres_cabeza_hogar_pct,total_jefes_hogar,pct_educacion_superior,nivel_educativo_categoria,nivel_educativo_etiqueta
AMAZONAS,48.69609857007765,12809.999999996,14.17234070161495,Bachiller,Básico predominante
ANTIOQUIA,49.86639840961672,2617825.345948393,26.963786921026276,Bachiller,Nivel medio
ARAUCA,59.35435960930447,30565.999999999996,24.48631805198981,Bachiller,Nivel medio
ARCHIPIÉLAGO DE SAN ANDRÉS,44.12069424653645,17184.000000014,32.39109171821512,Bachiller,Nivel medio
ATLÁNTICO,38.79147571547512,846670.877351257,26.936542981586992,Bachiller,Nivel medio
BOGOTÁ,46.35649494946827,3207013.00730782,41.69581784611816,Bachiller,Alto nivel educativo
BOLÍVAR,51.13457560294934,739576.521034424,22.18246288706857,Bachiller,Nivel medio
BOYACÁ,47.747382949261514,562987.0629450061,20.796006023450403,Bachiller,Nivel medio
CALDAS,46.06044227204888,403264.97001835797,25.011864988065547,Bachiller,Nivel medio
CAQUETÁ,49.31888496464851,173642.270442126,14.777684391201989,Bachiller,Básico predominante
CASANARE,52.726734115291194,62225.99999996,41.35397458029658,Bachiller,Alto nivel educativo
CAUCA,37.61608506961804,499202.068842726,18.064677061599784,Bachiller,Básico predominante
CESAR,50.7787051886604,462697.405366697,25.186233604560783,Bachiller,Nivel medio
CHOCÓ,56.00163205994817,207479.65378280001,12.265086132684106,Bachiller,Básico predominante
CUNDINAMARCA,43.30820684075509,1280579.188718245,24.44208452489753,Bachiller,Nivel medio
CÓRDOBA,46.14832672351406,603711.60181239,15.436104512552241,Bachiller,Básico predominante
GUAINÍA,53.72205301633982,8041.000000029999,17.109697374054182,Bachiller,Básico predominante
GUAVIARE,49.82871653734192,16783.000000056003,29.3607589545473,Bachiller,Nivel medio
HUILA,42.738815786303384,415151.43879367306,18.64741096636922,Bachiller,Básico predominante
LA GUAJIRA,53.029860228086676,337608.083882703,14.353636667256744,Bachiller,Básico predominante
MAGDALENA,45.96276406630121,500742.620680855,17.0096664890747,Bachiller,Básico predominante
META,50.845665721307384,432646.6411366,21.528098688838266,Bachiller,Nivel medio
NARIÑO,47.34144056369644,655980.354680181,15.20164760439238,Bachiller,Básico predominante
NORTE DE SANTANDER,43.46030630138055,561790.30003807,22.582219512094813,Bachiller,Nivel medio
PUTUMAYO,55.29492169088079,20271.000000001004,29.749060174320846,Bachiller,Nivel medio
QUINDÍO,45.58458957778292,223769.744595189,27.11462444370775,Bachiller,Nivel medio
RISARALDA,48.15086147256872,378866.413705767,23.33996069411735,Bachiller,Nivel medio
SANTANDER,47.47805227170569,849453.799853955,30.753549691822425,Bachiller,Nivel medio
SUCRE,44.674878451909215,309579.889870571,13.705707000595133,Bachiller,Básico predominante
TOLIMA,42.1306089977883,516277.81649267994,20.64080767748516,Bachiller,Nivel medio
VALLE DEL CAUCA,49.15697353632634,1743013.922696239,27.360921076686445,Bachiller,Nivel medio
VAUPÉS,42.93295445035979,3728.9999999973998,34.09859609371667,Bachiller,Nivel medio
VICHADA,49.478900353559354,5800.999999996002,19.458518420468963,Bachiller,Básico predominante
